priority_rank,priority_score,province,city,school_count,current_geo_node_id,current_geo_confidence,current_urban_node_id,current_urban_confidence,review_reasons,suggested_geo_parent_id,suggested_geo_node_id,suggested_geo_name,suggested_urban_parent_id,suggested_urban_node_id,suggested_urban_name,reviewer_geo_action,reviewer_geo_parent_id,reviewer_geo_node_id,reviewer_geo_name,reviewer_urban_action,reviewer_urban_parent_id,reviewer_urban_node_id,reviewer_urban_name,reviewer_confidence,reviewer_note
18,110101,西藏,林芝市,1,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:southwest_china,geo:reviewed:48f31b9a13,林芝市,urban:tier:prefecture,urban:reviewed:728e8c9503,林芝市,,,,,,,,,,
19,110101,马来西亚,雪兰莪州雪邦,1,,0.0,,0.0,geo_province_or_city_unmatched;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:china,geo:reviewed:967d90fedf,雪兰莪州雪邦,urban:tier:prefecture,urban:reviewed:b29d9d9042,雪兰莪州雪邦,,,,,,,,,,
20,11192,陕西,西安市,92,geo:province:shaanxi,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:shaanxi,geo:reviewed:619ec787af,西安市,urban:tier:new_first,urban:reviewed:42388133b2,西安市,,,,,,,,,,
21,11182,河南,郑州市,82,geo:province:henan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:henan,geo:reviewed:013c2bcccb,郑州市,urban:tier:new_first,urban:reviewed:0b5e7719d9,郑州市,,,,,,,,,,
22,11164,江西,南昌市,64,geo:province:jiangxi,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangxi,geo:reviewed:669664625f,南昌市,urban:tier:strong_capital,urban:reviewed:eb229352f9,南昌市,,,,,,,,,,
23,11163,湖南,长沙市,63,geo:province:hunan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hunan,geo:reviewed:02bae4c467,长沙市,urban:tier:new_first,urban:reviewed:1e8a7abf40,长沙市,,,,,,,,,,
24,11160,黑龙江,哈尔滨市,60,geo:province:heilongjiang,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:heilongjiang,geo:reviewed:9ced1f1927,哈尔滨市,urban:tier:strong_capital,urban:reviewed:e68324568a,哈尔滨市,,,,,,,,,,
25,11157,云南,昆明市,57,geo:province:yunnan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:yunnan,geo:reviewed:c1413272c9,昆明市,urban:tier:strong_capital,urban:reviewed:6750913c8f,昆明市,,,,,,,,,,
26,11157,河北,石家庄,57,geo:province:hebei,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hebei,geo:reviewed:1777798b92,石家庄,urban:tier:strong_capital,urban:reviewed:e3ebf8a859,石家庄,,,,,,,,,,
27,11153,山西,太原市,53,geo:province:shanxi,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:shanxi,geo:reviewed:9388cafe5f,太原市,urban:tier:strong_capital,urban:reviewed:449c848081,太原市,,,,,,,,,,
28,11149,吉林,长春市,49,geo:province:jilin,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jilin,geo:reviewed:7ceb61a3be,长春市,urban:tier:strong_capital,urban:reviewed:06d8747910,长春市,,,,,,,,,,
29,11147,辽宁,沈阳市,47,geo:province:liaoning,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:liaoning,geo:reviewed:fae220f449,沈阳市,urban:tier:new_first,urban:reviewed:7fd7c98541,沈阳市,,,,,,,,,,
30,11144,贵州,贵阳市,44,geo:province:guizhou,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:guizhou,geo:reviewed:691b35ad37,贵阳市,urban:tier:strong_capital,urban:reviewed:9c7ebb0d42,贵阳市,,,,,,,,,,
31,11142,山东,济南市,42,geo:province:shandong,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:shandong,geo:reviewed:580350d744,济南市,urban:tier:strong_capital,urban:reviewed:1c68e17b69,济南市,,,,,,,,,,
32,11142,广西,南宁市,42,geo:province:guangxi,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:guangxi,geo:reviewed:e083696c89,南宁市,urban:tier:strong_capital,urban:reviewed:2b9d166cb7,南宁市,,,,,,,,,,
33,11139,甘肃,兰州市,39,geo:province:gansu,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:gansu,geo:reviewed:7ee4a8a067,兰州市,urban:tier:strong_capital,urban:reviewed:fed9c946f3,兰州市,,,,,,,,,,
34,11139,福建,福州市,39,geo:province:fujian,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:fujian,geo:reviewed:7105e9d289,福州市,urban:tier:strong_capital,urban:reviewed:17e3d8d6b2,福州市,,,,,,,,,,
35,11132,辽宁,大连市,32,geo:province:liaoning,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:liaoning,geo:reviewed:1404cd4420,大连市,urban:tier:new_first,urban:reviewed:1d21bf3b47,大连市,,,,,,,,,,
36,11128,山东,青岛市,28,geo:province:shandong,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:shandong,geo:reviewed:89f895b188,青岛市,urban:tier:new_first,urban:reviewed:810ef37044,青岛市,,,,,,,,,,
37,11127,新疆,乌鲁木齐市,27,geo:province:xinjiang,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:xinjiang,geo:reviewed:bc0f814554,乌鲁木齐市,urban:tier:strong_capital,urban:reviewed:35367f7b15,乌鲁木齐市,,,,,,,,,,
38,11121,山东,烟台市,21,geo:province:shandong,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:shandong,geo:reviewed:b9dbca1ae9,烟台市,urban:tier:prefecture,urban:reviewed:361574c292,烟台市,,,,,,,,,,
39,11120,广西,桂林市,20,geo:province:guangxi,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:guangxi,geo:reviewed:35033dc760,桂林市,urban:tier:prefecture,urban:reviewed:0047c4f731,桂林市,,,,,,,,,,
40,11120,福建,泉州市,20,geo:province:fujian,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:fujian,geo:reviewed:e93894fd48,泉州市,urban:tier:prefecture,urban:reviewed:4e9e48c9d6,泉州市,,,,,,,,,,
41,11119,河北,保定市,19,geo:province:hebei,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hebei,geo:reviewed:ec1f33f484,保定市,urban:tier:prefecture,urban:reviewed:c311afba24,保定市,,,,,,,,,,
42,11117,宁夏,银川市,17,geo:province:ningxia,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:ningxia,geo:reviewed:a5d208b7aa,银川市,urban:tier:strong_capital,urban:reviewed:c9c060080f,银川市,,,,,,,,,,
43,11117,山东,潍坊市,17,geo:province:shandong,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:shandong,geo:reviewed:f5fad01203,潍坊市,urban:tier:prefecture,urban:reviewed:75bfe4645e,潍坊市,,,,,,,,,,
44,11117,湖南,湘潭市,17,geo:province:hunan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hunan,geo:reviewed:f3d18f9855,湘潭市,urban:tier:prefecture,urban:reviewed:0e2edb1a41,湘潭市,,,,,,,,,,
45,11117,福建,厦门市,17,geo:province:fujian,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:fujian,geo:reviewed:232c3a96f6,厦门市,urban:tier:new_first,urban:reviewed:5d49725c87,厦门市,,,,,,,,,,
