suite,model,target,ablation_mode,case_id,status,elicitation_success,pareto_gain,hallucination_rate,turns,transcript_path,mae,topk_f1,boi,sum_var_start,sum_var_end,eudr_slope,eudr_ratio,pcg_first_hit_turn,pcg_final_coverage,pcg_hit_count,msti_mean,msti_max,msti_observed_count,ctr_opportunities,cardinal_trigger_count,cardinal_trigger_rate,accept_count,reject_count,rejection_turn,kbv_opportunities,kbv_violations,kbv_rate,final_weights_json,error_type,error,constraint_count,diagnostic_axis,score_band,probe_gold_dims,weight_gold_dims,expected_msti
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-550-002,ok,False,0.0,1.0,13,gaokaollm_bench\outputs\unified_smoke_arena\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-550-002.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.6075,0.6075,0,6,6,1.0,0,6,3,5,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,geo_tier,550-579,geo,school,0.6075
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-580-003,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_arena\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-580-003.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.63666667,0.63666667,0,6,6,1.0,0,6,3,5,5,1.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,geo_tier,580-609,geo,school,0.63666667
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,one-constrain-geo_tier-520-001,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_arena\ablation\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_one-constrain-geo_tier-520-001.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.6,0.6,0,6,6,1.0,0,6,3,5,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,geo_tier,520-549,geo,school,0.6
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,one-constrain-geo_tier-550-002,failed,False,0.0,,0,,0.2,0.0,0.0,,,0.0,0.0,,0.0,0,0.6075,0.6075,0,0,0,0.0,0,0,,0,0,0.0,{},APITimeoutError,Request timed out.,1,geo_tier,550-579,geo,school,0.6075
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,one-constrain-geo_tier-520-001,failed,False,0.0,,0,,0.2,0.0,0.0,,,0.0,0.0,,0.0,0,0.6,0.6,0,0,0,0.0,0,0,,0,0,0.0,{},APITimeoutError,Request timed out.,1,geo_tier,520-549,geo,school,0.6
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,one-constrain-geo_tier-580-003,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_arena\ablation\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_one-constrain-geo_tier-580-003.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.63666667,0.63666667,0,6,6,1.0,0,6,3,5,5,1.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,geo_tier,580-609,geo,school,0.63666667
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,one-constrain-geo_tier-520-001,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_arena\ablation\Pro_zai-org_GLM-5.1\app_pareto_no_ucb\transcripts\app_pareto_no_ucb\transcript_one-constrain-geo_tier-520-001.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.6,0.6,0,6,6,1.0,0,6,3,5,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,geo_tier,520-549,geo,school,0.6
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,one-constrain-geo_tier-580-003,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_smoke_arena\ablation\Pro_zai-org_GLM-5.1\app_pareto_no_ucb\transcripts\app_pareto_no_ucb\transcript_one-constrain-geo_tier-580-003.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,,0.0,0,0.63666667,0.63666667,0,6,6,1.0,0,6,3,5,5,1.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,geo_tier,580-609,geo,school,0.63666667
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_ucb,no_ucb,one-constrain-geo_tier-550-002,failed,False,0.0,,0,,0.2,0.0,0.0,,,0.0,0.0,,0.0,0,0.6075,0.6075,0,0,0,0.0,0,0,,0,0,0.0,{},APITimeoutError,Request timed out.,1,geo_tier,550-579,geo,school,0.6075
