model,model_short,target,cases,completed_cases,failed_cases,elicitation_success_rate,mean_pareto_gain,mean_hallucination_rate,avg_turns,benchmark_score,summary_path
Pro_zai-org_GLM-5.1,Pro_zai-org_GLM-5.1,app_pareto,1,1,0,0.0,0.0,0.0,5.0,-2.5,gaokaollm_bench\outputs\method_score_arena_small_judge_probe2\Pro_zai-org_GLM-5.1\summary.json
Pro_zai-org_GLM-5.1,Pro_zai-org_GLM-5.1,v1_prompt_direct,1,1,0,0.0,0.0,0.6,5.0,-62.5,gaokaollm_bench\outputs\method_score_arena_small_judge_probe2\Pro_zai-org_GLM-5.1\summary.json
Pro_zai-org_GLM-5.1,Pro_zai-org_GLM-5.1,v1_prompt_cot,1,1,0,0.0,0.0,0.2857142857142857,5.0,-31.07142857142857,gaokaollm_bench\outputs\method_score_arena_small_judge_probe2\Pro_zai-org_GLM-5.1\summary.json
