suite,comparison_id,full_target,full_label,comparator_target,comparator_label,metric,better_direction,n_pairs,full_mean,comparator_mean,mean_diff_full_minus_comparator,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero,paired_t_statistic,paired_t_p_value,supports_full,holm_p_value,holm_significant_0_05
baseline,full_vs_direct_prompt,app_pareto,完整系统,v1_prompt_direct,静态检索-直接提示,F1@1,higher,150,0.7333333333333333,0.7,0.03333333333333333,0.006666666666666667,0.06666666666666667,True,2.2667004730406615,0.0248478773319106,True,0.027621576492565542,True
baseline,full_vs_direct_prompt,app_pareto,完整系统,v1_prompt_direct,静态检索-直接提示,F1@3,higher,150,0.64,0.6,0.04000000000000001,0.008888888888888896,0.07111111111111112,True,2.541154045789074,0.012071423471667916,True,0.014756293232446965,True
baseline,full_vs_direct_prompt,app_pareto,完整系统,v1_prompt_direct,静态检索-直接提示,F1@5,higher,150,0.6933333333333334,0.6733333333333333,0.02,-0.004,0.04666666666666667,False,1.562889295765913,0.12020007027171566,True,0.14928451497623133,False
baseline,full_vs_cot_prompt,app_pareto,完整系统,v1_prompt_cot,静态检索-思维链提示,F1@1,higher,150,0.7333333333333333,0.6933333333333334,0.04,0.013333333333333334,0.07333333333333333,True,2.491652731287675,0.013810788246282771,True,0.027621576492565542,True
baseline,full_vs_cot_prompt,app_pareto,完整系统,v1_prompt_cot,静态检索-思维链提示,F1@3,higher,150,0.64,0.5977777777777777,0.042222222222222223,0.013333333333333336,0.07333333333333333,True,2.7165190819545386,0.007378146616223482,True,0.014756293232446965,True
baseline,full_vs_cot_prompt,app_pareto,完整系统,v1_prompt_cot,静态检索-思维链提示,F1@5,higher,150,0.6933333333333334,0.6706666666666666,0.02266666666666667,-0.001333333333333333,0.04800000000000002,False,1.7952402369655232,0.07464225748811566,True,0.14928451497623133,False
ablation,full_vs_no_ucb,app_pareto_full,完整系统,app_pareto_no_ucb,去除主动探测,MAE,lower,30,0.1439023915243718,0.17824492076894868,-0.03434252924457689,-0.05694501457248949,-0.01247329386184615,True,-3.009747990350676,0.005366964736743825,True,0.01073392947348765,True
ablation,full_vs_no_ucb,app_pareto_full,完整系统,app_pareto_no_ucb,去除主动探测,F1@1,higher,30,0.7666666666666667,0.7333333333333333,0.03333333333333333,0.0,0.1,False,1.0,0.32558198801619365,True,0.32558198801619365,False
ablation,full_vs_no_ucb,app_pareto_full,完整系统,app_pareto_no_ucb,去除主动探测,F1@3,higher,30,0.6666666666666666,0.611111111111111,0.05555555555555556,-0.022222222222222213,0.13333333333333333,False,1.409362043572557,0.1693621028710227,True,0.2720255479141045,False
ablation,full_vs_no_ucb,app_pareto_full,完整系统,app_pareto_no_ucb,去除主动探测,F1@5,higher,30,0.7000000000000001,0.68,0.02000000000000002,-0.04000000000000001,0.09333333333333337,False,0.5708263279047439,0.572514563941532,True,0.8842171957621483,False
ablation,full_vs_no_tracker,app_pareto_full,完整系统,app_pareto_no_tracker,去除后验追踪,MAE,lower,30,0.1439023915243718,0.14866666666666664,-0.004764275142294837,-0.025416568449180065,0.015517547810190617,False,-0.4497472332555401,0.6562365024905689,True,0.6562365024905689,False
ablation,full_vs_no_tracker,app_pareto_full,完整系统,app_pareto_no_tracker,去除后验追踪,F1@1,higher,30,0.7666666666666667,0.7,0.06666666666666667,0.0,0.16666666666666666,False,1.4392458342578487,0.16078820842587663,True,0.32157641685175326,False
ablation,full_vs_no_tracker,app_pareto_full,完整系统,app_pareto_no_tracker,去除后验追踪,F1@3,higher,30,0.6666666666666666,0.6,0.06666666666666667,-0.011111111111111106,0.15555555555555556,False,1.5334116705410035,0.13601277395705225,True,0.2720255479141045,False
ablation,full_vs_no_tracker,app_pareto_full,完整系统,app_pareto_no_tracker,去除后验追踪,F1@5,higher,30,0.7000000000000001,0.6733333333333335,0.02666666666666667,-0.03333333333333333,0.1,False,0.7793136999513975,0.44210859788107415,True,0.8842171957621483,False
