ablation_mode,n,completed,state_update_count_mean,state_update_count_std,frozen_state_count,eudr_valid_n,eudr_slope_mean,eudr_slope_std,pcg_hit_rate_mean,pcg_hit_rate_std,pcg_coverage_mean,msti_mean,msti_std,ctr_mean,ctr_std,boi_valid_n,boi_mean,boi_std,kbv_valid_n,kbv_rate_mean,kbv_rate_std,ecdr_mean,ecdr_std,aux_elicitation_success_rate,mae_mean,mae_std,topk_f1_mean,topk_f1_std,recommendation_f1_at_1_mean,recommendation_f1_at_1_std,recommendation_f1_at_3_mean,recommendation_f1_at_3_std,recommendation_f1_at_5_mean,recommendation_f1_at_5_std,recommendation_f1_at_10_mean,recommendation_f1_at_10_std
full,30,30,1.9333333333333333,0.8683449709106096,0,26,1.6700000000000002,0.4015453482069822,0.727777777777778,0.11357423124351003,0.8555555555555555,0.9454166666666666,0.1444458211871466,0.5638888888888889,0.31915487458583947,26,1.2604185915281543,0.4735315473546759,15,0.08888888888888888,0.1875771446237126,0.23333333333333334,0.4301830671520761,0.2,0.13378954727726494,0.0454910966435641,0.35,0.43845339468448047,0.7,0.46609159969939895,0.6333333333333333,0.353959540515352,0.6933333333333334,0.28153928290043645,0.7966666666666666,0.2220334447210884
no_ucb,30,30,2.066666666666667,0.7396799556440672,1,28,1.4500595238095235,0.5116413276676763,0.19722222222222224,0.2547285886885777,0.25555555555555554,0.023694444333333335,0.12977981648917125,0.39444444444444443,0.3102135382859485,28,1.3802826425857586,0.48108647342584404,12,0.16666666666666666,0.3256694736394648,0.2,0.4068381021724863,0.16666666666666666,0.17239623327265674,0.03906628090249617,0.18333333333333332,0.33433756772968587,0.6333333333333333,0.4901325178535608,0.5777777777777777,0.3494202459809746,0.66,0.2978080844644984,0.78,0.22651786867173676
no_tracker,30,30,0.0,0.0,26,0,0.0,0.0,0.7833333333333333,0.08643647591044014,0.8333333333333334,0.9454166666666667,0.1444458211871466,0.6333333333333333,0.29894450336467815,0,0.0,0.0,18,0.07407407407407407,0.14259754398216617,0.23333333333333334,0.4301830671520761,0.23333333333333334,0.1486666666666667,0.016174337556830527,0.08333333333333333,0.18952451089472586,0.6333333333333333,0.4901325178535609,0.5777777777777776,0.3382775089366165,0.6666666666666667,0.29400132926433414,0.81,0.20569478561107524
