ablation_mode,n,completed,state_update_count_mean,state_update_count_std,frozen_state_count,eudr_valid_n,eudr_slope_mean,eudr_slope_std,pcg_hit_rate_mean,pcg_hit_rate_std,pcg_coverage_mean,msti_mean,msti_std,ctr_mean,ctr_std,boi_valid_n,boi_mean,boi_std,kbv_valid_n,kbv_rate_mean,kbv_rate_std,ecdr_mean,ecdr_std,aux_elicitation_success_rate,mae_mean,mae_std,topk_f1_mean,topk_f1_std
full,6,6,0.6666666666666666,1.0327955589886446,0,2,1.4375,0.6187184335382291,0.9444444444444445,0.13608276348795434,0.8333333333333334,0.670694445,0.36711427843812905,0.8333333333333334,0.2788866755113585,2,1.0775370951298604,0.10965401151966034,1,0.0,0.0,0.6666666666666666,0.5163977794943223,0.6666666666666666,0.12427622100316511,0.02550929594505713,0.3333333333333333,0.5163977794943223
no_ucb,6,6,1.8333333333333333,0.408248290463863,0,6,1.5125,0.4058170770186982,0.1111111111111111,0.17213259316477408,0.25,0.0,0.0,0.4444444444444444,0.2721655269759087,6,1.3005397923029083,0.43106913666316987,1,0.0,0.0,0.3333333333333333,0.5163977794943223,0.3333333333333333,0.17811583005287956,0.040416838828032195,0.25,0.27386127875258304
no_tracker,6,6,0.0,0.0,3,0,0.0,0.0,1.0,0.0,0.8333333333333334,0.7362500000000001,0.3879231560502673,0.7777777777777778,0.2721655269759087,0,0.0,0.0,1,0.0,0.0,0.6666666666666666,0.5163977794943223,0.6666666666666666,0.14866666666666664,0.017420294677951528,0.08333333333333333,0.2041241452319315
